Date,Site,Crop ID,Irrigation,Fertilizer,,Growth Stage,Hybrid,AGDD
18-May,,S1,June 12 once,N/A,,Planted,MN0702CN,0
18-May,,S2,June 12 once,N/A,,Planted,MN0702CN,0
18-May,,S3,June 12 once,N/A,,Planted,MN0702CN,0
18-May,,S4,June 12 once,N/A,,Planted,MN0702CN,0
18-May,,S5,June 12 once,N/A,,Planted,MN0702CN,0
18-May,,S6,June 12 once,N/A,,Planted,MN0702CN,0
18-May,,S7,June 12 once,N/A,,Planted,MN0702CN,0
18-May,,S8,June 12 once,N/A,,Planted,MN0702CN,0
25-May,,S1,June 12 once,N/A,,VE,MN0702CN,106.47
25-May,,S2,June 12 once,N/A,,VE,MN0702CN,106.47
25-May,,S3,June 12 once,N/A,,VE,MN0702CN,106.47
25-May,,S4,June 12 once,N/A,,VE,MN0702CN,106.47
25-May,,S5,June 12 once,N/A,,VE,MN0702CN,106.47
25-May,,S6,June 12 once,N/A,,VE,MN0702CN,106.47
25-May,,S7,June 12 once,N/A,,VE,MN0702CN,106.47
25-May,,S8,June 12 once,N/A,,VE,MN0702CN,106.47
1-Jun,,S1,June 12 once,N/A,,V2,MN0702CN,268.38
1-Jun,,S2,June 12 once,N/A,,V2,MN0702CN,268.38
1-Jun,,S3,June 12 once,N/A,,V2,MN0702CN,268.38
1-Jun,,S4,June 12 once,N/A,,V2,MN0702CN,268.38
1-Jun,,S5,June 12 once,N/A,,V2,MN0702CN,268.38
1-Jun,,S6,June 12 once,N/A,,V2,MN0702CN,268.38
1-Jun,,S7,June 12 once,N/A,,V2,MN0702CN,268.38
1-Jun,,S8,June 12 once,N/A,,V2,MN0702CN,268.38
8-Jun,,S1,June 12 once,N/A,,V3,MN0702CN,453.33
8-Jun,,S2,June 12 once,N/A,,V2-V3,MN0702CN,453.33
8-Jun,,S3,June 12 once,N/A,,V3,MN0702CN,453.33
8-Jun,,S4,June 12 once,N/A,,V2-V3,MN0702CN,453.33
8-Jun,,S5,June 12 once,N/A,,V3,MN0702CN,453.33
8-Jun,,S6,June 12 once,N/A,,V3,MN0702CN,453.33
8-Jun,,S7,June 12 once,N/A,,V3,MN0702CN,453.33
8-Jun,,S8,June 12 once,N/A,,V4,MN0702CN,453.33
15-Jun,,S1,June 12 once,N/A,,V4,MN0702CN,589.68
15-Jun,,S2,June 12 once,N/A,,V3,MN0702CN,589.68
15-Jun,,S3,June 12 once,N/A,,V3-V4,MN0702CN,589.68
15-Jun,,S4,June 12 once,N/A,,V3,MN0702CN,589.68
15-Jun,,S5,June 12 once,N/A,,V3-V4,MN0702CN,589.68
15-Jun,,S6,June 12 once,N/A,,V4,MN0702CN,589.68
15-Jun,,S7,June 12 once,N/A,,V4,MN0702CN,589.68
15-Jun,,S8,June 12 once,N/A,,V4,MN0702CN,589.68
22-Jun,,S1,June 12 once,N/A,,V6,MN0702CN,759.06
22-Jun,,S2,June 12 once,N/A,,V5,MN0702CN,759.06
22-Jun,,S3,June 12 once,N/A,,V5,MN0702CN,759.06
22-Jun,,S4,June 12 once,N/A,,V5,MN0702CN,759.06
22-Jun,,S5,June 12 once,N/A,,V6,MN0702CN,759.06
22-Jun,,S6,June 12 once,N/A,,V6,MN0702CN,759.06
22-Jun,,S7,June 12 once,N/A,,V6,MN0702CN,759.06
22-Jun,,S8,June 12 once,N/A,,V6,MN0702CN,759.06
29-Jun,,S1,June 12 once,N/A,,V10,MN0702CN,932.67
29-Jun,,S2,June 12 once,N/A,,V8,MN0702CN,932.67
29-Jun,,S3,June 12 once,N/A,,V9,MN0702CN,932.67
29-Jun,,S4,June 12 once,N/A,,V8,MN0702CN,932.67
29-Jun,,S5,June 12 once,N/A,,V10,MN0702CN,932.67
29-Jun,,S6,June 12 once,N/A,,V10,MN0702CN,932.67
29-Jun,,S7,June 12 once,N/A,,V10,MN0702CN,932.67
29-Jun,,S8,June 12 once,N/A,,V10,MN0702CN,932.67
6-Jul,,S1,June 12 once,N/A,,V11,MN0702CN,1104.12
6-Jul,,S2,June 12 once,N/A,,V11,MN0702CN,1104.12
6-Jul,,S3,June 12 once,N/A,,V11,MN0702CN,1104.12
6-Jul,,S4,June 12 once,N/A,,V11,MN0702CN,1104.12
6-Jul,,S5,June 12 once,N/A,,V11,MN0702CN,1104.12
6-Jul,,S6,June 12 once,N/A,,V11,MN0702CN,1104.12
6-Jul,,S7,June 12 once,N/A,,V11,MN0702CN,1104.12
6-Jul,,S8,June 12 once,N/A,,V11,MN0702CN,1104.12
13-Jul,,S1,June 12 once,N/A,,R1,MN0702CN,1253.25
13-Jul,,S2,June 12 once,N/A,,R1,MN0702CN,1253.25
13-Jul,,S3,June 12 once,N/A,,R1,MN0702CN,1253.25
13-Jul,,S4,June 12 once,N/A,,R1,MN0702CN,1253.25
13-Jul,,S5,June 12 once,N/A,,R1,MN0702CN,1253.25
13-Jul,,S6,June 12 once,N/A,,R1,MN0702CN,1253.25
13-Jul,,S7,June 12 once,N/A,,R1,MN0702CN,1253.25
13-Jul,,S8,June 12 once,N/A,,R1,MN0702CN,1253.25
20-Jul,,S1,June 12 once,N/A,,R2,MN0702CN,1407.33
20-Jul,,S2,June 12 once,N/A,,R1-R2,MN0702CN,1407.33
20-Jul,,S3,June 12 once,N/A,,R1-R2,MN0702CN,1407.33
20-Jul,,S4,June 12 once,N/A,,R1-R2,MN0702CN,1407.33
20-Jul,,S5,June 12 once,N/A,,R2,MN0702CN,1407.33
20-Jul,,S6,June 12 once,N/A,,R2,MN0702CN,1407.33
20-Jul,,S7,June 12 once,N/A,,R2,MN0702CN,1407.33
20-Jul,,S8,June 12 once,N/A,,R2,MN0702CN,1407.33
27-Jul,,S1,June 12 once,N/A,,R3,MN0702CN,1591.38
27-Jul,,S2,June 12 once,N/A,,R3,MN0702CN,1591.38
27-Jul,,S3,June 12 once,N/A,,R3,MN0702CN,1591.38
27-Jul,,S4,June 12 once,N/A,,R3,MN0702CN,1591.38
27-Jul,,S5,June 12 once,N/A,,R3,MN0702CN,1591.38
27-Jul,,S6,June 12 once,N/A,,R3,MN0702CN,1591.38
27-Jul,,S7,June 12 once,N/A,,R3,MN0702CN,1591.38
27-Jul,,S8,June 12 once,N/A,,R3,MN0702CN,1591.38
3-Aug,,S1,June 12 once,N/A,,R4,MN0702CN,1771.92
3-Aug,,S2,June 12 once,N/A,,R4,MN0702CN,1771.92
3-Aug,,S3,June 12 once,N/A,,R3-R4,MN0702CN,1771.92
3-Aug,,S4,June 12 once,N/A,,R3-R4,MN0702CN,1771.92
3-Aug,,S5,June 12 once,N/A,,R4,MN0702CN,1771.92
3-Aug,,S6,June 12 once,N/A,,R3-R4,MN0702CN,1771.92
3-Aug,,S7,June 12 once,N/A,,R4,MN0702CN,1771.92
3-Aug,,S8,June 12 once,N/A,,R4,MN0702CN,1771.92
10-Aug,,S1,June 12 once,N/A,,R4-R5,MN0702CN,1941.39
10-Aug,,S2,June 12 once,N/A,,R4-R5,MN0702CN,1941.39
10-Aug,,S3,June 12 once,N/A,,R4-R5,MN0702CN,1941.39
10-Aug,,S4,June 12 once,N/A,,R4-R5,MN0702CN,1941.39
10-Aug,,S5,June 12 once,N/A,,R4-R5,MN0702CN,1941.39
10-Aug,,S6,June 12 once,N/A,,R4-R5,MN0702CN,1941.39
10-Aug,,S7,June 12 once,N/A,,R4-R5,MN0702CN,1941.39
10-Aug,,S8,June 12 once,N/A,,R4-R5,MN0702CN,1941.39
17-Aug,,S1,June 12 once,N/A,,R5,MN0702CN,2087.28
17-Aug,,S2,June 12 once,N/A,,R5,MN0702CN,2087.28
17-Aug,,S3,June 12 once,N/A,,R5,MN0702CN,2087.28
17-Aug,,S4,June 12 once,N/A,,R5,MN0702CN,2087.28
17-Aug,,S5,June 12 once,N/A,,R5,MN0702CN,2087.28
17-Aug,,S6,June 12 once,N/A,,R5,MN0702CN,2087.28
17-Aug,,S7,June 12 once,N/A,,R5,MN0702CN,2087.28
17-Aug,,S8,June 12 once,N/A,,R5,MN0702CN,2087.28
24-Aug,,S1,June 12 once,N/A,,R6,MN0702CN,2267.1
24-Aug,,S2,June 12 once,N/A,,R6,MN0702CN,2267.1
24-Aug,,S3,June 12 once,N/A,,R6,MN0702CN,2267.1
24-Aug,,S4,June 12 once,N/A,,R6,MN0702CN,2267.1
24-Aug,,S5,June 12 once,N/A,,R6,MN0702CN,2267.1
24-Aug,,S6,June 12 once,N/A,,R6,MN0702CN,2267.1
24-Aug,,S7,June 12 once,N/A,,R6,MN0702CN,2267.1
24-Aug,,S8,June 12 once,N/A,,R6,MN0702CN,2267.1
31-Aug,,S1,June 12 once,N/A,,R6-R7,MN0702CN,2418.66
31-Aug,,S2,June 12 once,N/A,,R6-R7,MN0702CN,2418.66
31-Aug,,S3,June 12 once,N/A,,R6-R7,MN0702CN,2418.66
31-Aug,,S4,June 12 once,N/A,,R6-R7,MN0702CN,2418.66
31-Aug,,S5,June 12 once,N/A,,R6-R7,MN0702CN,2418.66
31-Aug,,S6,June 12 once,N/A,,R6-R7,MN0702CN,2418.66
31-Aug,,S7,June 12 once,N/A,,R6-R7,MN0702CN,2418.66
31-Aug,,S8,June 12 once,N/A,,R6-R7,MN0702CN,2418.66
7-Sep,,S1,June 12 once,N/A,,R7,MN0702CN,2590.74
7-Sep,,S2,June 12 once,N/A,,R7,MN0702CN,2590.74
7-Sep,,S3,June 12 once,N/A,,R7,MN0702CN,2590.74
7-Sep,,S4,June 12 once,N/A,,R7,MN0702CN,2590.74
7-Sep,,S5,June 12 once,N/A,,R7,MN0702CN,2590.74
7-Sep,,S6,June 12 once,N/A,,R7,MN0702CN,2590.74
7-Sep,,S7,June 12 once,N/A,,R7,MN0702CN,2590.74
7-Sep,,S8,June 12 once,N/A,,R7,MN0702CN,2590.74
14-Sep,,S1,June 12 once,N/A,,R8,MN0702CN,2689.83
14-Sep,,S2,June 12 once,N/A,,R8,MN0702CN,2689.83
14-Sep,,S3,June 12 once,N/A,,R8,MN0702CN,2689.83
14-Sep,,S4,June 12 once,N/A,,R8,MN0702CN,2689.83
14-Sep,,S5,June 12 once,N/A,,R8,MN0702CN,2689.83
14-Sep,,S6,June 12 once,N/A,,R8,MN0702CN,2689.83
14-Sep,,S7,June 12 once,N/A,,R8,MN0702CN,2689.83
14-Sep,,S8,June 12 once,N/A,,R8,MN0702CN,2689.83
20-Oct,,S1,June 12 once,N/A,,Harvested,MN0702CN,3134.97
20-Oct,,S2,June 12 once,N/A,,Harvested,MN0702CN,3134.97
20-Oct,,S3,June 12 once,N/A,,Harvested,MN0702CN,3134.97
20-Oct,,S4,June 12 once,N/A,,Harvested,MN0702CN,3134.97
20-Oct,,S5,June 12 once,N/A,,Harvested,MN0702CN,3134.97
20-Oct,,S6,June 12 once,N/A,,Harvested,MN0702CN,3134.97
20-Oct,,S7,June 12 once,N/A,,Harvested,MN0702CN,3134.97
20-Oct,,S8,June 12 once,N/A,,Harvested,MN0702CN,3134.97
